2025-09-19 02:36:31 | INFO     | create_model_logger  | 🚀 Model logger created for deepseek/deepseek-r1-0528:theta
2025-09-19 02:36:31 | INFO     | evaluate_model       | 🚀 Starting evaluation for deepseek/deepseek-r1-0528:theta
2025-09-19 02:36:33 | INFO     | evaluate_model       | 📊 Total questions: 5 | text_only: True | max_samples: 5
2025-09-19 02:36:33 | INFO     | evaluate_model       | 🔄 Evaluating 5 remaining questions
2025-09-19 02:36:33 | DEBUG    | __enter__            | 🔄 Starting question 66b2c7c9795022550abb176b
2025-09-19 02:36:33 | DEBUG    | __enter__            | 🔄 Starting question 669402b41dcb3d5a1ef9e951
2025-09-19 02:36:33 | DEBUG    | __enter__            | 🔄 Starting question 668825f80a642802bdfeadfa
2025-09-19 02:37:55 | DEBUG    | __exit__             | ✅ Completed question 668825f80a642802bdfeadfa in 81.76s
2025-09-19 02:37:55 | DEBUG    | __enter__            | 🔄 Starting question 668828540a642802bdfeadfc
2025-09-19 02:39:40 | DEBUG    | __exit__             | ✅ Completed question 668828540a642802bdfeadfc in 104.88s
2025-09-19 02:39:40 | DEBUG    | __enter__            | 🔄 Starting question 6696c3734c196f1af6a16fcb
2025-09-19 02:39:51 | DEBUG    | __exit__             | ✅ Completed question 669402b41dcb3d5a1ef9e951 in 198.18s
2025-09-19 02:40:02 | DEBUG    | __exit__             | ✅ Completed question 66b2c7c9795022550abb176b in 209.29s
2025-09-19 02:43:22 | DEBUG    | __exit__             | ✅ Completed question 6696c3734c196f1af6a16fcb in 222.66s
2025-09-19 02:43:22 | WARNING  | evaluate_model       | ⚠️ Incomplete evaluation: 2/5 predictions (3 missing)
2025-09-19 02:43:22 | INFO     | evaluate_model       | 🔄 Will retry missing questions (attempt 2/6)
2025-09-19 02:43:22 | WARNING  | evaluate_model       | 🔄 Retry attempt 1/5
2025-09-19 02:43:22 | INFO     | evaluate_model       | 📂 Loaded 2 existing predictions from hle_deepseek_deepseek-r1-0528_theta_20250919_023624.json
2025-09-19 02:43:22 | INFO     | evaluate_model       | 🔄 Evaluating 3 remaining questions
2025-09-19 02:43:22 | DEBUG    | __enter__            | 🔄 Starting question 6696c3734c196f1af6a16fcb
2025-09-19 02:43:22 | DEBUG    | __enter__            | 🔄 Starting question 66b2c7c9795022550abb176b
2025-09-19 02:43:22 | DEBUG    | __enter__            | 🔄 Starting question 669402b41dcb3d5a1ef9e951
2025-09-19 02:46:36 | DEBUG    | __exit__             | ✅ Completed question 66b2c7c9795022550abb176b in 193.45s
2025-09-19 02:46:37 | DEBUG    | __exit__             | ✅ Completed question 6696c3734c196f1af6a16fcb in 194.30s
2025-09-19 02:46:50 | DEBUG    | __exit__             | ✅ Completed question 669402b41dcb3d5a1ef9e951 in 207.52s
2025-09-19 02:46:50 | WARNING  | evaluate_model       | ⚠️ Incomplete evaluation: 2/5 predictions (3 missing)
2025-09-19 02:46:50 | INFO     | evaluate_model       | 🔄 Will retry missing questions (attempt 3/6)
2025-09-19 02:46:50 | WARNING  | evaluate_model       | 🔄 Retry attempt 2/5
2025-09-19 02:46:50 | INFO     | evaluate_model       | 📂 Loaded 2 existing predictions from hle_deepseek_deepseek-r1-0528_theta_20250919_023624.json
2025-09-19 02:46:50 | INFO     | evaluate_model       | 🔄 Evaluating 3 remaining questions
2025-09-19 02:46:50 | DEBUG    | __enter__            | 🔄 Starting question 6696c3734c196f1af6a16fcb
2025-09-19 02:46:50 | DEBUG    | __enter__            | 🔄 Starting question 669402b41dcb3d5a1ef9e951
