2025-09-19 02:36:33 | INFO     | create_model_logger  | 🚀 Model logger created for deepseek/deepseek-r1-0528:volcengine
2025-09-19 02:36:33 | INFO     | evaluate_model       | 🚀 Starting evaluation for deepseek/deepseek-r1-0528:volcengine
2025-09-19 02:36:33 | INFO     | evaluate_model       | 📊 Total questions: 5 | text_only: True | max_samples: 5
2025-09-19 02:36:33 | INFO     | evaluate_model       | 🔄 Evaluating 5 remaining questions
2025-09-19 02:36:33 | DEBUG    | __enter__            | 🔄 Starting question 669402b41dcb3d5a1ef9e951
2025-09-19 02:36:33 | DEBUG    | __enter__            | 🔄 Starting question 668825f80a642802bdfeadfa
2025-09-19 02:36:33 | DEBUG    | __enter__            | 🔄 Starting question 6696c3734c196f1af6a16fcb
2025-09-19 02:37:45 | DEBUG    | __exit__             | ✅ Completed question 668825f80a642802bdfeadfa in 71.82s
2025-09-19 02:37:45 | DEBUG    | __enter__            | 🔄 Starting question 668828540a642802bdfeadfc
2025-09-19 02:38:54 | DEBUG    | __exit__             | ✅ Completed question 669402b41dcb3d5a1ef9e951 in 140.94s
2025-09-19 02:38:54 | DEBUG    | __enter__            | 🔄 Starting question 66b2c7c9795022550abb176b
2025-09-19 02:39:22 | DEBUG    | __exit__             | ✅ Completed question 6696c3734c196f1af6a16fcb in 168.54s
2025-09-19 02:39:35 | DEBUG    | __exit__             | ✅ Completed question 668828540a642802bdfeadfc in 109.97s
2025-09-19 02:41:23 | DEBUG    | __exit__             | ✅ Completed question 66b2c7c9795022550abb176b in 148.84s
2025-09-19 02:41:23 | WARNING  | evaluate_model       | ⚠️ Incomplete evaluation: 2/5 predictions (3 missing)
2025-09-19 02:41:23 | INFO     | evaluate_model       | 🔄 Will retry missing questions (attempt 2/6)
2025-09-19 02:41:23 | WARNING  | evaluate_model       | 🔄 Retry attempt 1/5
2025-09-19 02:41:23 | INFO     | evaluate_model       | 📂 Loaded 2 existing predictions from hle_deepseek_deepseek-r1-0528_volcengine_20250919_023624.json
2025-09-19 02:41:23 | INFO     | evaluate_model       | 🔄 Evaluating 3 remaining questions
2025-09-19 02:41:23 | DEBUG    | __enter__            | 🔄 Starting question 6696c3734c196f1af6a16fcb
2025-09-19 02:41:23 | DEBUG    | __enter__            | 🔄 Starting question 669402b41dcb3d5a1ef9e951
2025-09-19 02:41:23 | DEBUG    | __enter__            | 🔄 Starting question 66b2c7c9795022550abb176b
2025-09-19 02:43:28 | DEBUG    | __exit__             | ✅ Completed question 66b2c7c9795022550abb176b in 125.55s
2025-09-19 02:43:48 | DEBUG    | __exit__             | ✅ Completed question 6696c3734c196f1af6a16fcb in 145.40s
2025-09-19 02:43:53 | DEBUG    | __exit__             | ✅ Completed question 669402b41dcb3d5a1ef9e951 in 150.59s
2025-09-19 02:43:53 | WARNING  | evaluate_model       | ⚠️ Incomplete evaluation: 2/5 predictions (3 missing)
2025-09-19 02:43:53 | INFO     | evaluate_model       | 🔄 Will retry missing questions (attempt 3/6)
2025-09-19 02:43:53 | WARNING  | evaluate_model       | 🔄 Retry attempt 2/5
