2025-09-18 21:08:09 | INFO     | create_model_logger  | 🚀 Model logger created for qwen/qwen3-235b-a22b-thinking-2507:theta
2025-09-18 21:08:09 | INFO     | evaluate_model       | 🚀 Starting evaluation for qwen/qwen3-235b-a22b-thinking-2507:theta
2025-09-18 21:08:09 | INFO     | evaluate_model       | 📊 Total questions: 3 | text_only: True | max_samples: 3
2025-09-18 21:08:09 | INFO     | evaluate_model       | 🔄 Evaluating 3 remaining questions
2025-09-18 21:08:09 | DEBUG    | __enter__            | 🔄 Starting question 668828540a642802bdfeadfc
2025-09-18 21:08:09 | DEBUG    | __enter__            | 🔄 Starting question 668825f80a642802bdfeadfa
2025-09-18 21:08:09 | DEBUG    | __enter__            | 🔄 Starting question 669402b41dcb3d5a1ef9e951
2025-09-18 21:09:26 | DEBUG    | __exit__             | ✅ Completed question 668825f80a642802bdfeadfa in 76.71s
2025-09-18 21:10:03 | DEBUG    | __exit__             | ✅ Completed question 668828540a642802bdfeadfc in 113.48s
2025-09-18 21:10:03 | DEBUG    | __exit__             | ✅ Completed question 669402b41dcb3d5a1ef9e951 in 113.54s
2025-09-18 21:10:03 | WARNING  | evaluate_model       | ⚠️ Incomplete evaluation: 2/3 predictions (1 missing)
2025-09-18 21:10:03 | INFO     | evaluate_model       | 🔄 Will retry missing questions (attempt 2/6)
2025-09-18 21:10:03 | WARNING  | evaluate_model       | 🔄 Retry attempt 1/5
2025-09-18 21:10:03 | INFO     | evaluate_model       | 📂 Loaded 2 existing predictions from hle_qwen_qwen3-235b-a22b-thinking-2507_theta_20250918_210802.json
2025-09-18 21:10:03 | INFO     | evaluate_model       | 🔄 Evaluating 1 remaining questions
2025-09-18 21:10:03 | DEBUG    | __enter__            | 🔄 Starting question 669402b41dcb3d5a1ef9e951
2025-09-18 21:11:15 | DEBUG    | __exit__             | ✅ Completed question 669402b41dcb3d5a1ef9e951 in 71.85s
2025-09-18 21:11:15 | WARNING  | evaluate_model       | ⚠️ Incomplete evaluation: 2/3 predictions (1 missing)
2025-09-18 21:11:15 | INFO     | evaluate_model       | 🔄 Will retry missing questions (attempt 3/6)
2025-09-18 21:11:15 | WARNING  | evaluate_model       | 🔄 Retry attempt 2/5
2025-09-18 21:11:15 | INFO     | evaluate_model       | 📂 Loaded 2 existing predictions from hle_qwen_qwen3-235b-a22b-thinking-2507_theta_20250918_210802.json
2025-09-18 21:11:15 | INFO     | evaluate_model       | 🔄 Evaluating 1 remaining questions
2025-09-18 21:11:15 | DEBUG    | __enter__            | 🔄 Starting question 669402b41dcb3d5a1ef9e951
2025-09-18 21:12:26 | DEBUG    | __exit__             | ✅ Completed question 669402b41dcb3d5a1ef9e951 in 70.81s
2025-09-18 21:12:26 | WARNING  | evaluate_model       | ⚠️ Incomplete evaluation: 2/3 predictions (1 missing)
2025-09-18 21:12:26 | INFO     | evaluate_model       | 🔄 Will retry missing questions (attempt 4/6)
2025-09-18 21:12:26 | WARNING  | evaluate_model       | 🔄 Retry attempt 3/5
2025-09-18 21:12:26 | INFO     | evaluate_model       | 📂 Loaded 2 existing predictions from hle_qwen_qwen3-235b-a22b-thinking-2507_theta_20250918_210802.json
2025-09-18 21:12:26 | INFO     | evaluate_model       | 🔄 Evaluating 1 remaining questions
2025-09-18 21:12:26 | DEBUG    | __enter__            | 🔄 Starting question 669402b41dcb3d5a1ef9e951
2025-09-18 21:13:41 | DEBUG    | __exit__             | ✅ Completed question 669402b41dcb3d5a1ef9e951 in 74.99s
2025-09-18 21:13:41 | WARNING  | evaluate_model       | ⚠️ Incomplete evaluation: 2/3 predictions (1 missing)
2025-09-18 21:13:41 | INFO     | evaluate_model       | 🔄 Will retry missing questions (attempt 5/6)
2025-09-18 21:13:41 | WARNING  | evaluate_model       | 🔄 Retry attempt 4/5
2025-09-18 21:13:41 | INFO     | evaluate_model       | 📂 Loaded 2 existing predictions from hle_qwen_qwen3-235b-a22b-thinking-2507_theta_20250918_210802.json
2025-09-18 21:13:41 | INFO     | evaluate_model       | 🔄 Evaluating 1 remaining questions
2025-09-18 21:13:41 | DEBUG    | __enter__            | 🔄 Starting question 669402b41dcb3d5a1ef9e951
2025-09-18 21:14:57 | DEBUG    | __exit__             | ✅ Completed question 669402b41dcb3d5a1ef9e951 in 76.09s
2025-09-18 21:14:57 | WARNING  | evaluate_model       | ⚠️ Incomplete evaluation: 2/3 predictions (1 missing)
2025-09-18 21:14:57 | INFO     | evaluate_model       | 🔄 Will retry missing questions (attempt 6/6)
2025-09-18 21:14:57 | WARNING  | evaluate_model       | 🔄 Retry attempt 5/5
2025-09-18 21:14:57 | INFO     | evaluate_model       | 📂 Loaded 2 existing predictions from hle_qwen_qwen3-235b-a22b-thinking-2507_theta_20250918_210802.json
2025-09-18 21:14:57 | INFO     | evaluate_model       | 🔄 Evaluating 1 remaining questions
2025-09-18 21:14:57 | DEBUG    | __enter__            | 🔄 Starting question 669402b41dcb3d5a1ef9e951
2025-09-18 21:16:09 | DEBUG    | __exit__             | ✅ Completed question 669402b41dcb3d5a1ef9e951 in 72.56s
2025-09-18 21:16:09 | ERROR    | evaluate_model       | ❌ Evaluation incomplete after 5 retries
2025-09-18 21:16:09 | ERROR    | evaluate_model       | ❌ Final result: 2/3 predictions (1 missing)
2025-09-18 21:16:09 | INFO     | evaluate_model       | ✅ Completed evaluation
2025-09-18 21:16:09 | INFO     | evaluate_model       | 📝 Final predictions: 2
2025-09-18 21:16:09 | INFO     | evaluate_model       | 📁 Saved to: results/20250918_210802/predictions/hle_qwen_qwen3-235b-a22b-thinking-2507_theta_20250918_210802.json
