2025-09-18 21:08:09 | INFO     | create_model_logger  | 🚀 Model logger created for openai/gpt-5:azure
2025-09-18 21:08:09 | INFO     | evaluate_model       | 🚀 Starting evaluation for openai/gpt-5:azure
2025-09-18 21:08:09 | INFO     | evaluate_model       | 📊 Total questions: 3 | text_only: True | max_samples: 3
2025-09-18 21:08:09 | INFO     | evaluate_model       | 🔄 Evaluating 3 remaining questions
2025-09-18 21:08:09 | DEBUG    | __enter__            | 🔄 Starting question 668828540a642802bdfeadfc
2025-09-18 21:08:09 | DEBUG    | __enter__            | 🔄 Starting question 668825f80a642802bdfeadfa
2025-09-18 21:08:09 | DEBUG    | __enter__            | 🔄 Starting question 669402b41dcb3d5a1ef9e951
2025-09-18 21:09:41 | DEBUG    | __exit__             | ✅ Completed question 668825f80a642802bdfeadfa in 91.59s
2025-09-18 21:09:41 | DEBUG    | __exit__             | ✅ Completed question 668828540a642802bdfeadfc in 91.59s
2025-09-18 21:14:53 | DEBUG    | __exit__             | ✅ Completed question 669402b41dcb3d5a1ef9e951 in 404.18s
2025-09-18 21:14:53 | WARNING  | evaluate_model       | ⚠️ Incomplete evaluation: 2/3 predictions (1 missing)
2025-09-18 21:14:53 | INFO     | evaluate_model       | 🔄 Will retry missing questions (attempt 2/6)
2025-09-18 21:14:53 | WARNING  | evaluate_model       | 🔄 Retry attempt 1/5
2025-09-18 21:14:53 | INFO     | evaluate_model       | 📂 Loaded 2 existing predictions from hle_openai_gpt-5_azure_20250918_210802.json
2025-09-18 21:14:53 | INFO     | evaluate_model       | 🔄 Evaluating 1 remaining questions
2025-09-18 21:14:53 | DEBUG    | __enter__            | 🔄 Starting question 669402b41dcb3d5a1ef9e951
2025-09-18 21:18:38 | DEBUG    | __exit__             | ✅ Completed question 669402b41dcb3d5a1ef9e951 in 224.65s
2025-09-18 21:18:38 | WARNING  | evaluate_model       | ⚠️ Incomplete evaluation: 2/3 predictions (1 missing)
2025-09-18 21:18:38 | INFO     | evaluate_model       | 🔄 Will retry missing questions (attempt 3/6)
2025-09-18 21:18:38 | WARNING  | evaluate_model       | 🔄 Retry attempt 2/5
2025-09-18 21:18:38 | INFO     | evaluate_model       | 📂 Loaded 2 existing predictions from hle_openai_gpt-5_azure_20250918_210802.json
2025-09-18 21:18:38 | INFO     | evaluate_model       | 🔄 Evaluating 1 remaining questions
2025-09-18 21:18:38 | DEBUG    | __enter__            | 🔄 Starting question 669402b41dcb3d5a1ef9e951
2025-09-18 21:24:57 | DEBUG    | __exit__             | ✅ Completed question 669402b41dcb3d5a1ef9e951 in 379.32s
2025-09-18 21:24:57 | WARNING  | evaluate_model       | ⚠️ Incomplete evaluation: 2/3 predictions (1 missing)
2025-09-18 21:24:57 | INFO     | evaluate_model       | 🔄 Will retry missing questions (attempt 4/6)
2025-09-18 21:24:57 | WARNING  | evaluate_model       | 🔄 Retry attempt 3/5
2025-09-18 21:24:57 | INFO     | evaluate_model       | 📂 Loaded 2 existing predictions from hle_openai_gpt-5_azure_20250918_210802.json
2025-09-18 21:24:57 | INFO     | evaluate_model       | 🔄 Evaluating 1 remaining questions
2025-09-18 21:24:57 | DEBUG    | __enter__            | 🔄 Starting question 669402b41dcb3d5a1ef9e951
2025-09-18 21:34:29 | DEBUG    | __exit__             | ✅ Completed question 669402b41dcb3d5a1ef9e951 in 571.31s
2025-09-18 21:34:29 | WARNING  | evaluate_model       | ⚠️ Incomplete evaluation: 2/3 predictions (1 missing)
2025-09-18 21:34:29 | INFO     | evaluate_model       | 🔄 Will retry missing questions (attempt 5/6)
2025-09-18 21:34:29 | WARNING  | evaluate_model       | 🔄 Retry attempt 4/5
2025-09-18 21:34:29 | INFO     | evaluate_model       | 📂 Loaded 2 existing predictions from hle_openai_gpt-5_azure_20250918_210802.json
2025-09-18 21:34:29 | INFO     | evaluate_model       | 🔄 Evaluating 1 remaining questions
2025-09-18 21:34:29 | DEBUG    | __enter__            | 🔄 Starting question 669402b41dcb3d5a1ef9e951
2025-09-18 21:40:27 | DEBUG    | __exit__             | ✅ Completed question 669402b41dcb3d5a1ef9e951 in 358.55s
2025-09-18 21:40:27 | WARNING  | evaluate_model       | ⚠️ Incomplete evaluation: 2/3 predictions (1 missing)
2025-09-18 21:40:27 | INFO     | evaluate_model       | 🔄 Will retry missing questions (attempt 6/6)
2025-09-18 21:40:27 | WARNING  | evaluate_model       | 🔄 Retry attempt 5/5
2025-09-18 21:40:27 | INFO     | evaluate_model       | 📂 Loaded 2 existing predictions from hle_openai_gpt-5_azure_20250918_210802.json
2025-09-18 21:40:27 | INFO     | evaluate_model       | 🔄 Evaluating 1 remaining questions
2025-09-18 21:40:27 | DEBUG    | __enter__            | 🔄 Starting question 669402b41dcb3d5a1ef9e951
2025-09-18 21:46:34 | DEBUG    | __exit__             | ✅ Completed question 669402b41dcb3d5a1ef9e951 in 367.11s
2025-09-18 21:46:34 | ERROR    | evaluate_model       | ❌ Evaluation incomplete after 5 retries
2025-09-18 21:46:34 | ERROR    | evaluate_model       | ❌ Final result: 2/3 predictions (1 missing)
2025-09-18 21:46:34 | INFO     | evaluate_model       | ✅ Completed evaluation
2025-09-18 21:46:34 | INFO     | evaluate_model       | 📝 Final predictions: 2
2025-09-18 21:46:34 | INFO     | evaluate_model       | 📁 Saved to: results/20250918_210802/predictions/hle_openai_gpt-5_azure_20250918_210802.json
